"buckloc_id","name","address","city","state","zipcode"
"223fgWFmvgcdhEYfH","#1 Cochran Nissan Cranberry","22030 ROUTE 19 PERRY HWY","ZELIENOPLE","PA","16063"
"2AZWdScfWW3DheCGh","Nissan of Cool Springs","212 COMTIDE COURT","FRANKLIN","TN","37067"
"2EmMFmdbf9Hubca7q","Haddad Nissan","25 W HOUSATONIC ST","PITTSFIELD","MA","01201"
"2FxXXAMYTtA6Ay4t6","Fred Haas Nissan","24202 TOMBALL PKWY  SH249","TOMBALL","TX","77375"
"2GHKbFDq9qaXXgrv3","Niles Sales and Service","3500 N ROOSEVELT BLVD","KEY WEST","FL","33040"
"2GbnpaH5CxNuDCcp5","Bosak Nissan","220 Verplank Rd","CHESTERTON","IN","46304"
"2Trne2AHbDE4cGykY","Action of Nissan","172 US HIGHWAY 202","FLEMINGTON","NJ","08822"
"2aLW7oP5Bu7YHyCNm","Bob Richards Nissan","5590 JEFFERSON DAVIS HWY","BEECH ISLAND","SC","29842"
"2cDkTYCvzmZLNZjb5","Nissan of Las Cruces","1801 S MAIN ST","LAS CRUCES","NM","88005"
"2f8zBA2MHnctNicsY","Neil Huffman Nissan of Frankfort","1220 VERSAILLES RD","FRANKFORT","KY","40601"
"2hGo9jxaDsMAu3ATy","Pine Belt Nissan of Toms River","229 ROUTE 37 E","TOMS RIVER","NJ","08753"
"2k6CeM8ERuDFcZAjh","Anchor Nissan","1041 EDDIE DOWLING HWY","NORTH SMITHFIELD","RI","02896"
"2maXozAxCz3n4fHzY","Fred Beans Nissan of Doylestown","4469 W Swamp Rd","DOYLESTOWN","PA","18902"
"2migbXMTf4aiMxYNB","John Amato Nissan","5200 N Port Washington Rd","MILWAUKEE","WI","53217"
"2oHpwEAEwMcmvitBj","Riverhead Auto Mall","1800 OLD COUNTRY RD","RIVERHEAD","NY","11901"
"2pCFxX8ixCovgoJHW","Tri Cities Nissan","3602 BRISTOL HWY","JOHNSON CITY","TN","37601"
"2pscdrACvWuacmjws","Woodhouse Place Nissan","8508 S 145TH STREET","OMAHA","NE","68138"
