name,address,city,state,zipcode,ethash
INFINITI OF SOUTH ATLANTA,4201 JONESBORO RD,UNION CITY,GA,30291,A302912267966659EC50CEE0DD25CB74EE6B65AB0C8844B5B50000
JBA INFINITI OF ELLICOTT CITY,8431 BALTIMORE NATL PIKE,ELLICOTT CITY,MD,21043,A21043427717D2E13F6DB07478604A126469635BCC6E9F9C1B0000
INFINITI OF MOBILE,1147 E I65 SERVICE RD S,MOBILE,AL,36606,A366063147C61FD8DE41C9768D32331268FA993872A440FE670000
HARTE INFINITI,150 WESTON ST,HARTFORD,CT,06120,A061201512438723EBD94FF52C6D1A406C29ECA54BD4FC42D40000
INFINITI OF MANHASSET,1225 NORTHERN BLVD,MANHASSET,NY,11030,A110303017438A4E8D4C73D32E79A89165544D00C65CACF5FB0000
ATLANTIC INFINITI,10980 ATLANTIC BLVD,JACKSONVILLE,FL,32225,A3222529375C7EBEB5904094D8C8D467B3E4D51BA49C225A010000
BEAVERTON INFINITI,9500 SW CANYON RD,PORTLAND,OR,97225,A972253526BF0F8E1819A2E1F07028205B16C71AAB6DFFC0CF0000
JIM LUPIENT INFINITI,7200 WAYZATA BLVD,GOLDEN VALLEY,MN,55426,A5542616502479503D663790E27776F504D682479EE5E2FCE80000
BERMANS INFMERRILLVILLE,1794 W 81ST AVENUE,MERRILLVILLE,IN,46410,A464105349B74FF1FE373D1ABD5861C1CD9BBF2243A600CE1C0000
HOLMAN INFINITI,577 ROUTE 38 W,MAPLE SHADE,NJ,08052,A080521605FBD0EAEF75AF43345796B1ED36581122AF5C28360000
INFINITI OF MELBOURNE,901 s a,MELBOURNE,FL,32901,A329011355B52C9723751BE32459A2C420661DB00048B7D64D0000
CERRITOS INFINITI,10901 183RD ST,CERRITOS,CA,90703,A9070353331C30C7F687488E0E447690E5149A91B1C74C7BE90000
INFINITI ROSEVILLE,800 AUTOMALL DR,ROSEVILLE,CA,95661,A95661302333810D2760498807ABCF46237CBF7B4B09AFE8F60000
FETTE INFINITI,1137 ROUTE 46 EAST,CLIFTON,NJ,07013,A07013243110D97A77501F5BAB9221C71455115324436C4E1D0000
INFINITI OF NAPERVILLE,1550 WEST OGDEN AVENUE,NAPERVILLE,IL,60540,A6054039195C148DD0F97E560E93196E2307DD86428BC3A59A0000
LUTHER INFINITI OF BLOOMINGTON,1500 WEST 81ST STREET,BLOOMINGTON,MN,55431,A5543120732920BF95ED4F65DFC9BA242119B48A8322B9E6CF0000
INFINITI OF NASHUA,11 MARMON DR,NASHUA,NH,03060,A0306052058A67C57C25B8E486E3FD44DEB9759769DBF38CDD0000
